,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov
SP_5天信号_abs_energy_时间序列的绝对能量,0.000892025,0.000641588,0.000243116,0.007101704,0.006940072,0.002202087,0.22479024,0.16168017,0.06126526,0.112736056,0.110170226,0.034957054,0.125607144,0.092446877,0.11040257,1.993951599,1.46754868,1.75258647,0.008502092,0.007975651,0.003429995,0.466653815,0.464518639,0.467090019,1.35131041,1.408150303,1.271386204,0.15021684,0.136059538,0.034658128,1.496438345,1.188304569,1.767702496,26.43940205,20.27172109,17.86161798,1.076915004,0.71483052,0.367239123
SP_5天信号_abs_max_最高绝对值,0.000810765,0.000558732,0.000252181,0.005977043,0.005613181,0.002292454,0.204312837,0.140800558,0.063549731,0.094882618,0.08910648,0.036391582,0.135646542,0.099539354,0.110005023,2.153322098,1.580138264,1.746275602,0.008195527,0.006758889,0.003495713,0.466891272,0.458271208,0.470589312,1.324521017,1.410631561,1.266755861,0.129117946,0.111868382,0.034446407,1.582373665,1.258626925,1.844887088,24.92979905,20.8319074,18.1793334,1.131016574,0.684088787,0.452082427
SP_5天信号_abs_sum_changes_一阶差分绝对和,0.000668252,0.000361423,0.000251548,0.006046386,0.005849875,0.002372157,0.168399489,0.09107855,0.063390126,0.095983397,0.092863888,0.037656821,0.110520892,0.061782997,0.106041948,1.754464772,0.980774679,1.683363736,0.008548115,0.007095534,0.003842921,0.467105445,0.461232354,0.469412534,1.297468707,1.351283534,1.271199857,0.168008348,0.152259774,0.042955368,1.002328104,0.598178674,1.47572072,19.70019039,12.836039,16.49529717,1.168226667,0.682860801,0.490520505
SP_5天信号_count_above_mean_高于均值个数占比,0.000642779,0.000269108,0.000366628,0.004491978,0.002790449,0.002860844,0.161980241,0.067815155,0.092390166,0.071307946,0.044297009,0.045414496,0.143094797,0.096438864,0.128153648,2.271559485,1.530919505,2.034376099,0.006864202,0.004068576,0.004165217,0.466137991,0.467341542,0.465097212,1.285484115,1.267420617,1.319427081,0.097236262,0.042581415,0.056440739,1.665841918,1.592599856,1.636941114,23.59782411,16.66803133,22.1813551,1.299280419,0.672887322,0.631547736
SP_5天信号_count_below_mean_低于均值个数占比,0.000642779,0.000366628,0.000269108,0.004491978,0.002860844,0.002790449,0.161980241,0.092390166,0.067815155,0.071307946,0.045414496,0.044297009,0.143094797,0.128153648,0.096438864,2.271559485,2.034376099,1.530919505,0.006864202,0.004165217,0.004068576,0.466137991,0.465097212,0.467341542,1.285484115,1.319427081,1.267420617,0.097236262,0.056440739,0.042581415,1.665841918,1.636941114,1.592599856,23.59782411,22.1813551,16.66803133,1.299280419,0.631547736,0.672887322
SP_5天信号_first_loc_of_max_最大值位置,0.000889513,0.000325803,0.000561913,0.004840587,0.00363861,0.003124932,0.224157205,0.082102463,0.141602152,0.076841931,0.05776114,0.04960676,0.183761346,0.089540633,0.17981616,2.917120937,1.421413485,2.854493044,0.006194651,0.004217261,0.003037361,0.466190437,0.465524622,0.46789963,1.331965871,1.302564526,1.399364295,0.084565492,0.072141351,0.028195882,2.650693553,1.138077704,5.022086248,36.18560899,19.46819705,46.62012916,1.397067176,0.701166349,0.701055466
SP_5天信号_first_loc_of_min_最小值位置,0.000513048,0.000322488,0.000165109,0.005189064,0.003494903,0.003362605,0.129288091,0.081266917,0.04160753,0.082373835,0.05547986,0.053379698,0.09887101,0.092273747,0.049101589,1.569528619,1.46480033,0.779463567,0.007727736,0.005679865,0.004497952,0.466613924,0.469404301,0.463512167,1.266483998,1.298081269,1.270684101,0.114130042,0.066864296,0.051924378,1.132813833,1.215400778,0.80131012,16.73039785,14.30789558,9.250328526,1.396258102,0.700080573,0.701332169
SP_5天信号_kurtosis_峰度,0.000706659,0.00029144,0.000406355,0.004397783,0.003035501,0.002480978,0.178078002,0.07344284,0.102401359,0.069812645,0.04818708,0.039384302,0.160685212,0.096010467,0.163788081,2.550798658,1.52411892,2.600055174,0.005887208,0.004368415,0.003008244,0.466145363,0.466104695,0.466275887,1.296701938,1.290218868,1.3212568,0.095642783,0.063990299,0.035438755,1.861907357,1.147718344,2.889530347,30.24829261,16.81223847,34.04024216,1.404203261,0.725364543,0.683993358
SP_5天信号_last_loc_of_max_最大值最近位置,0.000889513,0.000325803,0.000561913,0.004840587,0.00363861,0.003124932,0.224157205,0.082102463,0.141602152,0.076841931,0.05776114,0.04960676,0.183761346,0.089540633,0.17981616,2.917120937,1.421413485,2.854493044,0.006194651,0.004217261,0.003037361,0.466190437,0.465524622,0.46789963,1.331965871,1.302564526,1.399364295,0.084565492,0.072141351,0.028195882,2.650693553,1.138077704,5.022086248,36.18560899,19.46819705,46.62012916,1.397067176,0.701166349,0.701055466
SP_5天信号_last_loc_of_min_最小值最近位置,0.00051127,0.000322488,0.000165109,0.005185068,0.003494903,0.003362605,0.128839955,0.081266917,0.04160753,0.082310397,0.05547986,0.053379698,0.098604242,0.092273747,0.049101589,1.565293809,1.46480033,0.779463567,0.007740197,0.005679865,0.004497952,0.46655536,0.468174494,0.464217822,1.266345039,1.306045278,1.265657117,0.114179635,0.066864296,0.051924378,1.128396973,1.215400778,0.80131012,16.64556637,14.30789558,9.250328526,1.396258102,0.700080573,0.701332169
SP_5天信号_longest_above_mean_均值上的最长连续自列长度,0.000612812,0.000229412,0.000361424,0.00464718,0.003280607,0.003031181,0.154428535,0.057811825,0.091078739,0.073771701,0.052078029,0.048118499,0.131867412,0.069929732,0.11923525,2.093330266,1.110100087,1.892800909,0.007541957,0.005193339,0.003639326,0.466565613,0.46623762,0.467055968,1.280417065,1.288850567,1.291450732,0.11683726,0.053671257,0.067227889,1.321740469,1.077146843,1.354776133,20.47592476,11.13191798,25.02626216,1.353675622,0.712056433,0.646773828
SP_5天信号_longest_below_mean_均值下的最长连续自列长度,0.000766388,0.000588571,0.00021134,0.005195002,0.003808111,0.003070901,0.19312966,0.148319926,0.053257581,0.0824681,0.060451894,0.048749042,0.147524012,0.154557228,0.068820066,2.341871097,2.453519938,1.092484676,0.00810715,0.004057289,0.004843856,0.466150654,0.46552927,0.467611174,1.312997791,1.452610193,1.243984038,0.090441711,0.042068375,0.048259344,2.135404743,3.525687098,1.103570341,23.82214059,36.55640882,10.99487332,1.477601279,0.772683369,0.71007255
SP_5天信号_max_时间序列的最大值,0.000634678,0.000441483,0.000179624,0.005796634,0.005229977,0.002488271,0.15993883,0.111253625,0.045265312,0.092018711,0.083023304,0.039500081,0.109490767,0.084413885,0.072188374,1.73811205,1.340028881,1.145954917,0.007892449,0.006756046,0.00376354,0.467532796,0.468372355,0.464891036,1.281839233,1.320398393,1.263625695,0.150464599,0.120209002,0.050931263,1.062966515,0.925501609,0.88875299,20.26479059,16.46726952,12.02732487,1.247465937,0.716565674,0.536054902
SP_5天信号_mean_时间序列的均值,0.000841941,0.000372516,0.000400791,0.005783774,0.004749682,0.004316223,0.212169157,0.093873963,0.100999419,0.091814566,0.075398871,0.068517918,0.145569501,0.078429608,0.092856957,2.310844195,1.245031422,1.4740585,0.007321035,0.006959572,0.006380404,0.467141794,0.472607704,0.460286912,1.316989165,1.312984018,1.389709388,0.106054668,0.072265823,0.067549698,2.000564049,1.299009128,1.495186821,28.98076099,13.48846733,15.82962692,1.47478459,0.760124316,0.719814914
SP_5天信号_mean_abs_change_时间序列连续两点值的变化的绝对值的平均值,0.000668252,0.000361423,0.000251548,0.006046386,0.005849875,0.002372157,0.168399489,0.09107855,0.063390126,0.095983397,0.092863888,0.037656821,0.110520892,0.061782997,0.106041948,1.754464772,0.980774679,1.683363736,0.008548115,0.007095534,0.003842921,0.467105445,0.461232354,0.469412534,1.297468707,1.351283534,1.271199857,0.168008348,0.152259774,0.042955368,1.002328104,0.598178674,1.47572072,19.70019039,12.836039,16.49529717,1.168226667,0.682860801,0.490520505
SP_5天信号_mean_change_时间序列连续两点值的变化的平均值,0.000949844,0.000250587,0.000675952,0.006371896,0.00497937,0.004725843,0.239360703,0.063147811,0.17033986,0.101150711,0.079045046,0.075020431,0.149067731,0.050324952,0.14303307,2.366376866,0.798883848,2.270579588,0.009586036,0.006146481,0.006784303,0.466406774,0.46444929,0.466992399,1.34863235,1.340796921,1.466581303,0.124895965,0.077641988,0.091757207,1.916480676,0.813320379,1.856419407,24.96972714,10.27381471,25.10793972,1.482626583,0.737021403,0.750759819
SP_5天信号_mean_sec_deri_cent_二阶导数的中心的均值,0.000832882,0.000647578,0.000165041,0.006553726,0.004372222,0.004908419,0.209886237,0.163189776,0.041590228,0.10403717,0.069406868,0.077918741,0.127085254,0.148111995,0.033623979,2.017415872,2.351205028,0.533764121,0.010772469,0.005954671,0.00836167,0.466566808,0.470660948,0.461964526,1.319798005,1.384044358,1.329413538,0.160968855,0.067387126,0.118077576,1.303893459,2.421675856,0.352228,19.48357767,27.40533893,4.973913891,1.469965477,0.734908255,0.740211861
SP_5天信号_median_中位数,0.000714566,0.000101819,0.000521706,0.005700407,0.004507294,0.00433813,0.180070668,0.025658483,0.131469972,0.090491163,0.071551072,0.068865685,0.12535352,0.022589913,0.120260618,1.989925447,0.358603749,1.909078121,0.007599184,0.007155946,0.006003584,0.466828672,0.471194978,0.460969404,1.29072284,1.249374183,1.420793355,0.117741396,0.073047652,0.075721792,1.529374322,0.351256774,1.736223734,23.69605262,3.585617056,21.89858018,1.483681297,0.761301174,0.727534762
SP_5天信号_min_最小值,0.000833687,0.000358521,0.000410028,0.00628944,0.002854324,0.005842997,0.210089055,0.09034737,0.103326968,0.099841759,0.045310984,0.092754699,0.132553419,0.125606393,0.070174204,2.104220291,1.993939675,1.113980955,0.009062493,0.003989445,0.007520881,0.466743353,0.472688958,0.45642527,1.325820119,1.311050032,1.394166442,0.143238543,0.038873372,0.134036195,1.466707567,2.324145437,0.770888551,23.18225759,22.64659853,13.7386788,1.265814335,0.561533021,0.709435953
SP_5天信号_root_mean_sq_离散序列的均方根,0.000749796,0.000586015,0.000240298,0.005831225,0.005627643,0.00235978,0.188948551,0.147675776,0.060555036,0.092567833,0.089336063,0.037460351,0.128582895,0.104131515,0.101830564,2.041190174,1.653036547,1.616510087,0.007917637,0.006735117,0.003741798,0.466427312,0.460554675,0.469946702,1.313411753,1.397615906,1.266853182,0.130753608,0.116423034,0.038864055,1.445073329,1.268441235,1.558124468,23.86426175,21.92623827,16.18340766,1.090944794,0.648481938,0.447617494
SP_5天信号_skewness_偏度,0.000618695,0.000383096,0.000217871,0.00464355,0.002877369,0.00304024,0.155911028,0.096540161,0.054903438,0.073714078,0.045676816,0.048262316,0.133237393,0.133141034,0.071662361,2.115078043,2.113548386,1.137604715,0.00670708,0.003964035,0.004001282,0.466138821,0.467532302,0.464806133,1.280040607,1.304590573,1.273964961,0.101016132,0.049360511,0.054905438,1.543427029,1.955817701,0.999963579,23.24573983,24.35401314,13.72146256,1.452699413,0.725845232,0.73200882
SP_5天信号_std_x的标准偏差,0.000718592,0.000546414,0.00024073,0.006004089,0.005642064,0.002387597,0.181085131,0.13769644,0.060663856,0.095311951,0.089564992,0.037901925,0.119683743,0.096846549,0.100825058,1.899920512,1.537391311,1.600548179,0.008836889,0.007333927,0.003843647,0.466505246,0.463143698,0.4683692,1.309051948,1.376693776,1.275314378,0.154667541,0.134198351,0.044480787,1.170802423,1.026066559,1.363821559,20.49195599,18.77526723,15.78288814,1.118848364,0.657885956,0.466117047
SP_5天信号_sum_val_时间序列值的总和,0.000841941,0.000372516,0.000400791,0.005783774,0.004749682,0.004316223,0.212169157,0.093873963,0.100999419,0.091814566,0.075398871,0.068517918,0.145569501,0.078429608,0.092856957,2.310844195,1.245031422,1.4740585,0.007321035,0.006959572,0.006380404,0.467141794,0.472607704,0.460286912,1.316989165,1.312984018,1.389709388,0.106054668,0.072265823,0.067549698,2.000564049,1.299009128,1.495186821,28.98076099,13.48846733,15.82962692,1.47478459,0.760124316,0.719814914
SP_5天信号_var_方差,0.00075942,0.000536327,0.00023565,0.007181188,0.006925747,0.002227463,0.1913738,0.135154405,0.059383711,0.113997832,0.109942822,0.035359876,0.105751277,0.077439592,0.105792851,1.678749474,1.229315412,1.679409447,0.009616532,0.00858236,0.003522369,0.46684665,0.463201585,0.467754874,1.332725877,1.402436002,1.264829715,0.184457504,0.16530379,0.037514959,1.037495337,0.81761226,1.582934191,19.90049987,15.7479307,16.85902625,1.097722296,0.725240969,0.377635967
SP_5天信号_var_coeff_变异系数,0.000399939,0.00012753,0.000234052,0.009149911,0.007345048,0.005799147,0.100784619,0.032137469,0.05898117,0.145250334,0.116599026,0.092058607,0.043709602,0.017362669,0.040359773,0.693868415,0.275623824,0.640691533,0.016146414,0.011834345,0.009998803,0.46625706,0.456755201,0.461974037,1.334446512,1.497516462,1.516819854,0.177462074,0.143301439,0.096569353,0.567922018,0.224264805,0.610764888,6.241919699,2.715610282,5.898822843,1.690842559,0.879094441,0.816902758
SP_5天信号_benford_corr_适合用于异常检测,0.000642867,0.000343415,0.000265759,0.004697247,0.002658343,0.003389974,0.162002447,0.086540516,0.066971246,0.074566486,0.042199889,0.053814172,0.136860344,0.129183753,0.078395557,2.172590607,2.050728496,1.24449088,0.006273934,0.004161402,0.004801992,0.46642217,0.464847061,0.467584152,1.28918233,1.314988432,1.29126053,0.101810391,0.032764043,0.075258063,1.591217213,2.641325939,0.889887992,25.82150795,20.79599751,13.94655405,1.395038958,0.628565283,0.771628314
SP_5天信号_agg_autocorr_各阶自相关系数的聚合统计特征,0.000717138,0.000301396,0.000416349,0.004845288,0.003496897,0.003240358,0.180718778,0.075951753,0.104919832,0.076916556,0.055511521,0.05143909,0.148007316,0.086189508,0.128488435,2.349543298,1.368216026,2.039690666,0.00647764,0.003888333,0.004194559,0.466507884,0.464236917,0.468306587,1.290456257,1.298380378,1.325184997,0.096098526,0.053319125,0.067016028,1.880557243,1.424474854,1.565593123,27.89886072,19.53324239,25.01331796,1.409158485,0.716634181,0.697678943
SP_5天信号_ar_coeff_自回归系数，衡量时序数据的的周期性、不可预测性和波动性,0.00048418,0.000202435,0.000273231,0.006458959,0.003710512,0.004253237,0.122013238,0.051013498,0.068854326,0.102532796,0.05890255,0.067518049,0.074962469,0.054557032,0.064240821,1.189992303,0.866066038,1.019791415,0.010136276,0.005244597,0.006035592,0.466296766,0.464122152,0.467931917,1.272293477,1.273994176,1.318608153,0.201035041,0.072753835,0.130567028,0.606925227,0.701179508,0.527348501,12.03728482,9.726866434,11.40804928,1.559539347,0.768705573,0.795988413
SP_5天信号_adf_test_扩展dickey_fuller检验（ADF检验），测试自回归模型是否存在单位根，衡量时序数据的平稳性,0.00073751,0.000368045,0.000359309,0.005971586,0.003137472,0.004624424,0.185852567,0.092747272,0.090545981,0.094795994,0.049805822,0.07341045,0.123503228,0.117306145,0.077698211,1.960552968,1.862177327,1.233420869,0.009228403,0.004869213,0.004950424,0.466107899,0.466837662,0.464066194,1.323393564,1.306077338,1.42485915,0.108484578,0.0539503,0.069768167,1.713170382,1.719124294,1.297812229,20.13919104,19.04769379,18.29055196,1.471729166,0.597358416,0.879525388
SP_5天信号_autocorr_lag阶自相关性,0.000688701,0.000185666,0.000485446,0.004791322,0.003169901,0.00305891,0.173552702,0.046787865,0.122332336,0.076059876,0.05032062,0.048558693,0.143739291,0.058571585,0.158698932,2.281790504,0.929795081,2.519267442,0.007805125,0.005046868,0.00453524,0.466378214,0.463111601,0.468718926,1.287796626,1.256357125,1.346504787,0.111964703,0.069111743,0.05508492,1.550066207,0.676988639,2.220795378,22.23573559,9.270673479,26.97372775,1.431162263,0.742355779,0.693961124
SP_5天信号_count_above_高于阈值个数占比,0.000666751,0.000362438,0.000257052,0.004549292,0.003413588,0.003307001,0.168021198,0.091334257,0.064777083,0.072217774,0.054189036,0.052497016,0.146561435,0.106174935,0.077729611,2.326590656,1.685474836,1.233919323,0.006425546,0.004711678,0.004050544,0.466848842,0.474750131,0.461006126,1.289112266,1.274870809,1.325755557,0.084225294,0.049238229,0.064834837,1.994901893,1.854946005,0.999109217,26.14893511,19.38465745,15.99219516,1.43344551,0.726839455,0.711760694
SP_5天信号_count_below_低于阈值个数占比,0.000666751,0.000257052,0.000362438,0.004549292,0.003307001,0.003413588,0.168021198,0.064777083,0.091334257,0.072217774,0.052497016,0.054189036,0.146561435,0.077729611,0.106174935,2.326590656,1.233919323,1.685474836,0.006425546,0.004050544,0.004711678,0.466848842,0.461006126,0.474750131,1.289112266,1.325755557,1.274870809,0.084225294,0.064834837,0.049238229,1.994901893,0.999109217,1.854946005,26.14893511,15.99219516,19.38465745,1.43344551,0.711760694,0.726839455
SP_5天信号_index_mas_quant_分位数索引,0.000739889,0.000419849,0.000300598,0.005393966,0.00376531,0.003232868,0.186451974,0.105801963,0.075750818,0.085626563,0.059772439,0.051320194,0.137169704,0.111504522,0.092981975,2.177501541,1.770079408,1.476043087,0.006962649,0.004567049,0.004113343,0.466271727,0.467138534,0.4667442,1.307658296,1.346380368,1.299881895,0.130977045,0.07429126,0.081902195,1.423546954,1.42415088,0.924893621,26.77888482,23.1663729,18.41587639,1.48919128,0.780637471,0.713708448
SP_5天信号_large_std_dev_标准差是否r倍于极差,0.00073099,0.000487878,0.000263261,0.004695891,0.002588498,0.003191091,0.184209568,0.122945381,0.066341865,0.074544955,0.041091125,0.050656992,0.155665961,0.188479412,0.082498872,2.471120527,2.992017908,1.309628991,0.007684338,0.003326417,0.005093099,0.46600918,0.469797121,0.462909068,1.304429323,1.341121682,1.29486609,0.104335373,0.026852532,0.081173343,1.765552396,4.578539545,0.817286344,23.97207966,36.96029794,13.02583341,1.450224103,0.777113465,0.678265277
SP_5天信号_linear_trend_线性回归分析,0.000906607,0.000259449,0.000604877,0.006362654,0.00519349,0.004546167,0.228465043,0.065381228,0.152429061,0.101004002,0.082444091,0.072168164,0.142488858,0.049956645,0.133052136,2.26194049,0.793037162,2.112137179,0.010382796,0.006471867,0.006542153,0.466314546,0.462089907,0.470259826,1.333272852,1.341848805,1.408817031,0.116993543,0.092023413,0.076504216,1.952800449,0.710484711,1.992426939,22.00419194,10.10237511,23.29952512,1.480942234,0.734640294,0.751456579
SP_5天信号_mean_n_abs_max_n 个绝对最大值的算术平均值,0.000810765,0.000558732,0.000252181,0.005977043,0.005613181,0.002292454,0.204312837,0.140800558,0.063549731,0.094882618,0.08910648,0.036391582,0.135646542,0.099539354,0.110005023,2.153322098,1.580138264,1.746275602,0.008195527,0.006758889,0.003495713,0.466891272,0.458271208,0.470589312,1.324521017,1.410631561,1.266755861,0.129117946,0.111868382,0.034446407,1.582373665,1.258626925,1.844887088,24.92979905,20.8319074,18.1793334,1.131016574,0.684088787,0.452082427
SP_5天信号_num_cross_m_x在m上的交叉数,0.000653156,0.000299071,0.000329402,0.004905565,0.003160895,0.003084662,0.164595353,0.075365964,0.083009424,0.077873424,0.050177657,0.048967491,0.13314597,0.094616006,0.106787219,2.113626747,1.501982526,1.695194548,0.00763388,0.004303502,0.004343312,0.466564265,0.462304949,0.466922275,1.286492129,1.297581482,1.305040555,0.113894435,0.063043098,0.049613945,1.445157115,1.195467345,1.673106719,21.56116631,17.51270588,19.11200969,1.493876071,0.747447365,0.751583346
SP_5天信号_num_peaks_时间序列x中至少支持n的峰值数,0.000440694,4.59E-05,0.000388144,0.005732905,0.005000572,0.002393473,0.111055011,0.011564734,0.097812325,0.091007038,0.079381626,0.03799521,0.076871067,0.00917731,0.16216774,1.220290351,0.145685275,2.574333064,0.00788543,0.005552081,0.003595937,0.46725525,0.461626031,0.467555051,1.265342887,1.242715838,1.295083588,0.1280072,0.080420986,0.046076974,0.867568469,0.143802441,2.122802717,14.08356983,2.082954924,27.20079319,1.137874336,0.839625683,0.303403292
SP_5天信号_quantile_x的q分位数,0.000968962,0.000393704,0.000477079,0.00569709,0.003457627,0.005053046,0.244178487,0.099213501,0.12022391,0.0904385,0.054888132,0.080214611,0.170080208,0.113865473,0.094414153,2.699939603,1.807558344,1.498778207,0.007473591,0.00456018,0.006940092,0.46634731,0.470872398,0.460784729,1.332032385,1.325073858,1.381003428,0.106755727,0.047819627,0.097563816,2.287263583,2.074744347,1.232259207,32.67217582,21.75648752,17.32310156,1.403663256,0.684547115,0.724270779
SP_5天信号_range_count_区间[min，max]内的观测值的个数,0.000633534,0.000379763,0.000291026,0.00433075,0.002994705,0.002479043,0.159650579,0.095700164,0.073338587,0.068748527,0.047539473,0.039353594,0.146287369,0.126811327,0.117394533,2.322239988,2.013067401,1.863580443,0.006473601,0.003997847,0.004042849,0.466418489,0.471868888,0.464372398,1.284552414,1.315580524,1.277640245,0.09039916,0.041841069,0.058457538,1.766062642,2.28723036,1.254561682,24.66178859,23.93792707,18.14032531,1.114236538,0.79877005,0.320621127
SP_5天信号_ratio_beyond_偏离x的平均值大于r * std(x)的值的比率,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,,,0.005154639,0.005154639,0.005154639
SP_5天信号_agg_linear_trend_基于分块时序聚合值的线性回归,0.001025548,0.000421331,0.000580077,0.006741344,0.005151457,0.004759238,0.258438123,0.106175377,0.146179306,0.10701552,0.081776852,0.075550565,0.152128136,0.081788671,0.12188434,2.414959288,1.298354898,1.934853919,0.011407137,0.006721487,0.008010885,0.466439269,0.465189796,0.467028493,1.362352609,1.377013908,1.433480989,0.127748225,0.08114304,0.083519374,2.02302712,1.308496414,1.750244266,22.65582627,15.79641191,18.24758615,1.483332192,0.745511419,0.742975412
"SP_5天信号_binned_entropy_分组熵。如果一个时间序列的 Binned Entropy 较大，说明这一段时间序列的取值是较为均匀的分布在 [min,max] 之间的；如果一个时间序列的 Binned Entropy 较小，说明这一段时间序列的取值是集中在某一段上的",0.000455617,0.000172619,0.000291763,0.004842036,0.003069473,0.003130086,0.114815584,0.043499947,0.073524161,0.076864939,0.048726377,0.049688576,0.094096243,0.056237284,0.093212308,1.493731545,0.892739215,1.479699512,0.008367714,0.00528817,0.004312938,0.466558098,0.45937448,0.470181327,1.259642523,1.27754674,1.289754513,0.143981733,0.088079245,0.057122103,0.797431599,0.493872845,1.287140308,13.72125997,8.225898065,17.04734783,1.381229514,0.682436576,0.703947577
SP_5天信号_c3_时序数据非线性度量,0.000534935,0.001044358,-0.000523673,0.012784719,0.009737082,0.009137238,0.134803559,0.263178108,-0.131965696,0.202951124,0.15457138,0.145049163,0.041841729,0.107255706,-0.057311999,0.664216863,1.702631551,-0.909799778,0.022762,0.015541352,0.018158851,0.466258941,0.470645505,0.463525059,1.36743464,1.789215155,1.281499098,0.441599774,0.147357258,0.384395606,0.305261838,1.785986738,-0.343306984,5.922307297,16.93405486,-7.267293119,1.637874838,0.820489516,0.822539961
SP_5天信号_change_quant_给定区间的时序数据描述统计，返回值：区间内描述统计量,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,,,0.005154639,0.005154639,0.005154639
SP_5天信号_cid_ce_时序数据复杂度，用来评估时间序列的复杂度，越复杂的序列有越多的谷峰,0.000631288,0.000418146,0.00025701,0.00596657,0.00572833,0.002396617,0.159084469,0.105372893,0.064766498,0.09471636,0.090934423,0.038045114,0.105804104,0.072996211,0.107238628,1.679588077,1.15877892,1.702360439,0.008495427,0.00702899,0.003878271,0.46646321,0.462731887,0.468621131,1.29370048,1.350390562,1.276561472,0.16144284,0.143756396,0.039685197,0.98539191,0.732996201,1.63200644,18.72589516,14.99118596,16.69983858,1.159072189,0.679591369,0.484635459
SP_5天信号_cwt_coeff_Ricker小波分析,0.000761324,0.000114997,0.000595072,0.006247765,0.005457889,0.004251833,0.191853707,0.028979325,0.149958168,0.099180195,0.086641302,0.067495757,0.121855453,0.021069927,0.139956599,1.934395341,0.334474723,2.221742138,0.008489621,0.008193746,0.00462821,0.467280929,0.466350557,0.465757051,1.312162252,1.289786041,1.41865815,0.122359448,0.101472417,0.059334474,1.567951718,0.285588205,2.527336245,22.59861945,3.536761568,32.40089868,1.483083117,0.770109619,0.718128137
SP_5天信号_ener_ratio_chunks_分块局部熵比率,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,,,0.005154639,0.005154639,0.005154639
SP_5天信号_fft_agg_绝对傅里叶变换的谱统计量,0.000734378,0.000309968,0.000382422,0.004657736,0.002949556,0.002901612,0.185063168,0.078111918,0.096370318,0.073939272,0.046822752,0.04606166,0.15766836,0.105089685,0.131796366,2.502907622,1.668247033,2.092202456,0.007593713,0.004104729,0.003877862,0.46624953,0.467550969,0.464506776,1.300173102,1.278128194,1.337256489,0.092847422,0.069390311,0.032372037,1.993196632,1.125689112,2.976961845,24.37057641,19.02973912,24.85140351,1.447271851,0.722869838,0.729556652
SP_5天信号_fft_coeff_傅里叶变换系数,0.000746994,0.000451422,0.000307568,0.005917854,0.005521019,0.002298967,0.188242544,0.113758239,0.077507195,0.093943026,0.087643466,0.036494967,0.126227206,0.081764172,0.133785416,2.003794775,1.297965994,2.123777642,0.008530166,0.006818625,0.003580885,0.466702032,0.459191361,0.47114317,1.316755767,1.394790764,1.282910366,0.143509419,0.120076034,0.036786742,1.31170864,0.947385049,2.106932839,22.06786488,16.68345742,21.64470111,1.224976036,0.705406436,0.524724239
SP_5天信号_fourier_entropy_频谱图序列的箱熵,0.000789566,0.000258982,0.000530021,0.004996457,0.002332561,0.003753355,0.198970507,0.065263449,0.133565171,0.079316289,0.037028252,0.059582656,0.158025091,0.111029029,0.141212485,2.508570556,1.762531194,2.241678698,0.007231459,0.004029399,0.005221719,0.46698906,0.462654066,0.479928871,1.311830458,1.276298555,1.311214442,0.071805794,0.060871525,0.034133977,2.770953384,1.0721507,3.91296831,27.5145714,16.196819,25.57877414,1.122948008,0.302757066,0.825345581
SP_5天信号_friedrich_coeff_Langevin模型拟合的多项式系数,0.0007718,0.000595513,0.000147762,0.008897456,0.005664947,0.006164955,0.194493696,0.150069239,0.037236084,0.141242738,0.089928252,0.097865628,0.086743937,0.105122398,0.023968096,1.377017317,1.668766331,0.380481732,0.010755419,0.008054176,0.008067084,0.466116245,0.468194831,0.468258538,1.442869011,2.177538732,1.433043305,0.17417416,0.048703997,0.140444758,1.116662171,3.081251,0.265129751,18.08332141,18.63247515,4.615804825,1.729332977,0.867686703,0.866800913
SP_5天信号_lemp_ziv_complex_Lempel-Ziv复杂度,0.00047864,0.000172619,0.000307741,0.004605305,0.003069473,0.002610516,0.120617366,0.043499947,0.077550754,0.073106952,0.048726377,0.041440662,0.103932384,0.056237284,0.117885141,1.649875443,0.892739215,1.871368591,0.007168063,0.00528817,0.003171876,0.466558098,0.45937448,0.470181327,1.252980146,1.27754674,1.260680455,0.142903593,0.088079245,0.052296183,0.844047117,0.493872845,1.482914221,16.82705141,8.225898065,24.4494879,1.220398211,0.682436576,0.543116274
