,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov
SP_60天信号_num_peaks_时间序列x中至少支持n的峰值数,0.000764163,0.000370537,0.000367065,0.004547292,0.002708487,0.003480665,0.192569194,0.093375297,0.092500352,0.072186026,0.042995893,0.055253848,0.168048023,0.136805877,0.105458256,2.667679666,2.171725968,1.674097922,0.006147886,0.00369854,0.00467181,0.467831358,0.467309743,0.466037028,1.310744677,1.302694655,1.314272881,0.105477703,0.050994162,0.074322255,1.825686267,1.831097769,1.244584838,31.32282873,25.24653163,19.79968151,0.64293539,0.325588193,0.322501837
SP_60天信号_quantile_x的q分位数,0.000681727,0.00021996,0.000176923,0.004124236,0.00273847,0.004563219,0.171795271,0.055429831,0.044584691,0.065470221,0.04347187,0.072438864,0.165297822,0.080322083,0.038771613,2.624021572,1.275073534,0.615480273,0.006084647,0.004920646,0.005575789,0.471521918,0.472112454,0.458220975,1.328300787,1.280672875,1.280058346,0.091163554,0.058333175,0.112906338,1.884473176,0.95022825,0.394882096,28.23421928,11.26474615,7.996122896,0.437131708,0.196898319,0.245388028
SP_60天信号_range_count_区间[min，max]内的观测值的个数,0.000418608,0.000159662,0.000318263,0.004154371,0.00278127,0.003686388,0.105489091,0.040234815,0.080202179,0.065948592,0.044151286,0.058519592,0.100763153,0.057406145,0.086334546,1.599565469,0.911294301,1.370518422,0.006192811,0.004419616,0.004800275,0.467337442,0.468276083,0.464322116,1.266360566,1.261849724,1.297608315,0.079902518,0.047341072,0.071263185,1.320222353,0.849892355,1.125436356,17.03412053,9.103690652,16.70783027,0.456543299,0.241138301,0.220559638
SP_60天信号_ratio_beyond_偏离x的平均值大于r * std(x)的值的比率,0.000819589,0.000467114,0.000346584,0.00472244,0.003057532,0.003128149,0.206536397,0.117712789,0.087339253,0.07496641,0.048536815,0.049657822,0.173551996,0.152774933,0.11079535,2.75505252,2.42522688,1.758821655,0.008291687,0.004653831,0.005708268,0.468166686,0.462500899,0.468540442,1.324618108,1.364838317,1.319633828,0.109528411,0.051884278,0.077556571,1.885687877,2.26875641,1.126136089,24.90885024,25.29374015,15.30048267,0.679250168,0.355529084,0.328875724
SP_60天信号_agg_linear_trend_基于分块时序聚合值的线性回归,0.000730091,0.000576452,0.000165472,0.005937672,0.004110148,0.004284,0.18398295,0.145265973,0.041698936,0.094257624,0.065246572,0.068006393,0.122959141,0.140250987,0.038625575,1.951915855,2.226415389,0.613162001,0.008543752,0.004773894,0.0065366,0.465894569,0.475483953,0.457046991,1.307994222,1.355000664,1.333532343,0.15523419,0.075488324,0.081325592,1.185196057,1.924350222,0.512740636,21.53420899,30.42923929,6.379300639,0.808619147,0.416440262,0.397333524
"SP_60天信号_binned_entropy_分组熵。如果一个时间序列的 Binned Entropy 较大，说明这一段时间序列的取值是较为均匀的分布在 [min,max] 之间的；如果一个时间序列的 Binned Entropy 较小，说明这一段时间序列的取值是集中在某一段上的",0.000604188,8.21E-05,0.000458867,0.004361363,0.003042864,0.003102795,0.152255347,0.020694934,0.115634359,0.069234498,0.048303963,0.049255351,0.138531882,0.02698864,0.147888094,2.199125456,0.428431382,2.347650716,0.006842654,0.005122078,0.004655657,0.468938283,0.467556095,0.464073699,1.283887608,1.209328554,1.380820936,0.097965418,0.098861506,0.032737897,1.554174424,0.209332573,3.532125492,22.25092025,4.040339476,24.83738782,0.509639366,0.24831843,0.266475575
SP_60天信号_c3_时序数据非线性度量,0.000929839,0.000277748,0.000411082,0.008126726,0.004904067,0.006855955,0.234319472,0.069992571,0.103592643,0.129007774,0.077849645,0.108834909,0.114417441,0.056636322,0.059959834,1.816320562,0.899073737,0.951832859,0.01295297,0.006658924,0.011775358,0.467648119,0.466569076,0.457806744,1.377402384,1.31621655,1.478033407,0.162635606,0.062902256,0.119862211,1.440763671,1.112719571,0.864264406,18.09001948,10.51109248,8.79740905,0.536527729,0.270586158,0.271096211
SP_60天信号_change_quant_给定区间的时序数据描述统计，返回值：区间内描述统计量,0.000379299,0.000178536,0.000250157,0.004753181,0.005430219,0.00251228,0.095583336,0.044991021,0.063039562,0.075454407,0.086202062,0.039881211,0.079798973,0.032878192,0.099573686,1.266769432,0.521925118,1.580683256,0.006980638,0.007560486,0.003992036,0.469339682,0.46181578,0.469251122,1.268366841,1.290980078,1.289999087,0.133892813,0.126700803,0.041839226,0.713879516,0.355096575,1.506709589,13.692636,5.950810373,15.79133307,0.528348835,0.296105913,0.237397561
SP_60天信号_cid_ce_时序数据复杂度，用来评估时间序列的复杂度，越复杂的序列有越多的谷峰,0.00050303,0.000342288,0.000172388,0.003704066,0.004805197,0.002764201,0.126763667,0.086256493,0.043441706,0.058800229,0.076280139,0.043880333,0.135804921,0.071232805,0.062364392,2.155836286,1.130785731,0.990004024,0.005119146,0.007505229,0.004686829,0.466690414,0.461912282,0.469530876,1.331848407,1.314724385,1.281049074,0.083451412,0.104159716,0.036812401,1.519011646,0.82811759,1.180083464,24.76265963,11.49285221,9.268889773,0.349810765,0.196270097,0.158695307
SP_60天信号_cwt_coeff_Ricker小波分析,0.000895655,0.00055563,0.000334698,0.00639191,0.004649638,0.00441563,0.225705098,0.140018808,0.084343824,0.101468421,0.073810714,0.070095958,0.140123249,0.119499668,0.0757984,2.224387616,1.896998413,1.203262298,0.008587177,0.00572065,0.0060285,0.466344824,0.463542254,0.468318456,1.331211929,1.41454915,1.333182376,0.121637903,0.029690222,0.104694828,1.855549066,4.715990611,0.805615955,26.28396858,24.47603258,13.99084803,1.634105528,0.837557632,0.801702535
