,all_日均收益率R,top_日均收益率R,bottom_日均收益率R,all_日均波动率Vol,top_日均波动率Vol,bottom_日均波动率Vol,all_年化收益率ER,top_年化收益率ER,bottom_年化收益率ER,all_年化波动率VOL,top_年化波动率VOL,bottom_年化波动率VOL,all_信息比率IR,top_信息比率IR,bottom_信息比率IR,all_夏普比率SR,top_夏普比率SR,bottom_夏普比率SR,all_下行偏差DD,top_下行偏差DD,bottom_下行偏差DD,all_胜率VE,top_胜率VE,bottom_胜率VE,all_盈亏比PnL,top_盈亏比PnL,bottom_盈亏比PnL,all_最大回撤MDD,top_最大回撤MDD,bottom_最大回撤MDD,all_卡玛比率Calmar,top_卡玛比率Calmar,bottom_卡玛比率Calmar,all_索提诺比率Sortino,top_索提诺比率Sortino,bottom_索提诺比率Sortino,all_换手率Tov,top_换手率Tov,bottom_换手率Tov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126longest_above_median,0.000766004,0.000459007,0.000285397,0.004921835,0.002623513,0.002770405,0.193033053,0.115669785,0.071919945,0.078131702,0.041646978,0.043978815,0.155633874,0.174958951,0.103016207,2.470611151,2.777387237,1.635331586,0.00893541,0.004220559,0.005096867,0.458144442,0.462288468,0.455480444,1.32349574,1.317153576,1.307166343,0.047395148,0.022112354,0.032244923,4.072844147,5.231002742,2.230426932,21.60315646,27.40627347,14.11061827,0.212201273,0.110983041,0.106372871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252longest_above_median,0.00072843,0.000486148,0.000322325,0.004229111,0.002779167,0.002539671,0.183564342,0.122509252,0.081225841,0.067135059,0.044117913,0.04031602,0.172241849,0.174925717,0.126915975,2.73425458,2.776859668,2.014728644,0.007058824,0.004505148,0.004227972,0.459116993,0.462744628,0.455973148,1.331907902,1.323110117,1.315688064,0.041887226,0.027828984,0.025718212,4.382346585,4.402217936,3.158300448,26.0049481,27.19316817,19.21153737,0.120815063,0.062839014,0.063130689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60num_peaks10,0.000824085,0.000389346,0.000435261,0.005438432,0.002816607,0.002881835,0.207669541,0.098115076,0.109685683,0.086332428,0.044712254,0.045747706,0.151529985,0.138232101,0.151035958,2.405463932,2.19436657,2.39762151,0.009485151,0.00490125,0.004634611,0.457813091,0.457471608,0.458552106,1.328620508,1.330382816,1.328315922,0.054056662,0.029704319,0.026518617,3.841701179,3.303057621,4.136176663,21.89417339,20.01837635,23.66664203,0.754870751,0.39030273,0.36972266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126num_peaks10,0.000785692,0.000385319,0.000404768,0.005242207,0.002617114,0.002867535,0.197994462,0.097100469,0.102001502,0.083217451,0.041545393,0.04552071,0.149878165,0.147230635,0.141155325,2.379242103,2.337213875,2.24077131,0.00930144,0.004766539,0.004643309,0.457772767,0.458394171,0.456999328,1.323836287,1.324720558,1.32716872,0.05053376,0.025767098,0.028780453,3.918063104,3.768389792,3.544124257,21.28643221,20.37127358,21.96741666,0.520280968,0.273334218,0.252101389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252num_peaks10,0.000736994,0.000363217,0.00043445,0.004669475,0.002412858,0.002813839,0.185722389,0.091530751,0.109481492,0.074125617,0.038302931,0.044668315,0.157832221,0.15053405,0.154397716,2.505508836,2.389653964,2.450987754,0.007945033,0.003635845,0.004792575,0.458182138,0.458288401,0.458491625,1.324134509,1.316264272,1.330898241,0.059923238,0.03206284,0.030684541,3.099338343,2.854730021,3.567968998,23.37591013,25.17454545,22.84398136,0.347163076,0.181374514,0.170943201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.668369814,0.340512023,0.33301243Day60num_peaks5,0.000755186,0.000382207,0.00037211,0.005490192,0.002873436,0.002857298,0.190306891,0.096316224,0.093771615,0.087154097,0.045614385,0.045358194,0.137551851,0.133014002,0.130231298,2.183567933,2.111531819,2.067357759,0.009700283,0.004886193,0.004923824,0.457787258,0.458124613,0.457189544,1.320437724,1.325210117,1.320770396,0.05844128,0.031707426,0.034155796,3.256377863,3.03765508,2.74540856,19.6186949,19.71191499,19.04446903,0.668369814,0.340512023,0.33301243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126num_peaks5,0.000808456,0.000431212,0.000371993,0.005215001,0.002875889,0.002636899,0.203730988,0.108665446,0.093742114,0.082785568,0.04565332,0.04185948,0.15502516,0.149940457,0.141071942,2.460948128,2.380230958,2.239447645,0.009574202,0.005221468,0.00453681,0.457712004,0.459105868,0.456454617,1.330068166,1.335370633,1.323662589,0.056650658,0.032783376,0.031577322,3.596268723,3.314650883,2.96865307,21.27916053,20.81128317,20.66256145,0.480844695,0.245362808,0.240636527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252num_peaks5,0.000759261,0.000438516,0.000397895,0.004490471,0.002870509,0.002331108,0.191333678,0.11050604,0.100269491,0.071284025,0.045567911,0.037005196,0.169082608,0.152765971,0.170689116,2.684103192,2.425084602,2.709605718,0.007195699,0.004783786,0.003770998,0.458248605,0.458250565,0.458311447,1.331383761,1.344610159,1.320267634,0.044531876,0.028844796,0.023100308,4.296555496,3.831056421,4.340612742,26.59000523,23.10012303,26.58964274,0.351248067,0.179457026,0.17694568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day22c32,-0.000406181,1.96E-05,-0.000434472,0.008795799,0.004991422,0.004950037,-0.102357705,0.004926858,-0.109487011,0.139628981,0.079236364,0.078579395,-0.046179019,0.003916925,-0.087771526,-0.733069199,0.062179251,-1.393329782,0.014435524,0.006604439,0.009322156,0.457700644,0.460137171,0.455405605,1.213096384,1.25195117,1.184535533,0.326879463,0.09537446,0.247667647,-0.313135931,0.051658041,-0.442072319,-7.090681455,0.745991913,-11.74481608,0.72464646,0.367398596,0.362402504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day60c32,0.000282156,0.000259946,-1.04E-05,0.006778458,0.003614489,0.00414852,0.071103407,0.065506512,-0.002626748,0.107604682,0.057378242,0.065855715,0.041625453,0.071917895,-0.002512608,0.660783576,1.141661184,-0.039886415,0.011951327,0.004790086,0.00767764,0.457823456,0.460717081,0.456012332,1.262834435,1.278800945,1.249508975,0.149778218,0.066198442,0.116617857,0.474724615,0.989547631,-0.022524409,5.949414989,13.6754359,-0.342129669,0.349320007,0.179263133,0.175211514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day126c32,0.000429536,0.000315866,0.00011841,0.006362957,0.003265794,0.003915671,0.108242976,0.07959831,0.029839344,0.101008815,0.051842877,0.062159347,0.067505658,0.096719597,0.030240054,1.071619104,1.535376007,0.480045973,0.01042598,0.004331444,0.007107459,0.457788123,0.457373968,0.457474592,1.273737386,1.300006858,1.265150384,0.106453258,0.040875596,0.071506576,1.01681224,1.947330865,0.417295106,10.38204359,18.37685177,4.198313958,0.211392245,0.110136565,0.106410319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day252c32,0.000774705,0.000415027,0.000374196,0.005072019,0.002723492,0.003356544,0.195225645,0.104586784,0.094297461,0.080515802,0.043234092,0.053283477,0.152740945,0.152387798,0.111482621,2.424687329,2.419081297,1.769731751,0.009164936,0.004080389,0.006193224,0.458140119,0.458235229,0.458527561,1.319681075,1.312386691,1.316433644,0.050696856,0.020210595,0.041740448,3.850843235,5.174849315,2.259138707,21.30136463,25.63156996,15.22590874,0.130657901,0.068582017,0.067230523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day22c31,-0.000306577,-3.32E-05,-0.000274857,0.00897816,0.005927465,0.004414981,-0.07725741,-0.008363454,-0.069264023,0.142523867,0.094095597,0.070085649,-0.034146978,-0.005599072,-0.062255588,-0.542066474,-0.088882519,-0.988276829,0.015068192,0.009900516,0.007211618,0.457725601,0.455007419,0.457989355,1.232503349,1.288329183,1.19735463,0.320437617,0.145239452,0.187339635,-0.24109969,-0.057583898,-0.369724341,-5.12718499,-0.844749309,-9.604505,0.641480644,0.333063739,0.313571544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
